|       pathname       |               function               |          callSite          |  destination   |             destinationLiteral             |         type          |   stripedType    | destinationSize |                                       location                                        |
| hw/usb/hcd-ehci.c    | ehci_state_fetchqtd                  | call to get_dwords         | & ...          | &qtd.altnext                               | uint32_t *            | unsigned int     |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/usb/hcd-ehci.c:1808:9:1808:18    |
| hw/usb/hcd-ehci.c    | ehci_state_fetchqtd                  | call to get_dwords         | bufptr         | qtd.bufptr                                 | uint32_t[5]           | unsigned int     |              20 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/usb/hcd-ehci.c:1809:9:1809:18    |
| hw/usb/hcd-ehci.c    | ehci_fill_queue                      | call to get_dwords         | & ...          | &qtd                                       | EHCIqtd *             | EHCIqtd          |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/usb/hcd-ehci.c:1899:13:1899:22   |
| hw/usb/hcd-ehci.c    | ehci_writeback_async_complete_packet | call to get_dwords         | & ...          | &qh                                        | EHCIqh *              | EHCIqh           |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/usb/hcd-ehci.c:485:5:485:14      |
| hw/usb/hcd-ehci.c    | ehci_writeback_async_complete_packet | call to get_dwords         | & ...          | &qtd                                       | EHCIqtd *             | EHCIqtd          |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/usb/hcd-ehci.c:487:5:487:14      |
| hw/usb/hcd-ohci.c    | ohci_frame_boundary                  | call to ohci_read_hcca     | & ...          | &hcca                                      | ohci_hcca *           | ohci_hcca        |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/usb/hcd-ohci.c:1170:9:1170:22    |
| hw/usb/hcd-ohci.c    | ohci_service_ed_list                 | call to ohci_read_ed       | & ...          | &ed                                        | ohci_ed *             | ohci_ed          |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/usb/hcd-ohci.c:1077:13:1077:24   |
| hw/usb/hcd-ohci.c    | ohci_service_td                      | call to ohci_read_td       | & ...          | &td                                        | ohci_td *             | ohci_td          |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/usb/hcd-ohci.c:867:9:867:20      |
| hw/usb/hcd-ohci.c    | ohci_read_iso_td                     | call to get_dwords         | td             | td                                         | ohci_iso_td *         | ohci_iso_td      |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/usb/hcd-ohci.c:449:12:449:21     |
| hw/usb/hcd-ohci.c    | get_words                            | call to dma_memory_read    | buf            | buf                                        | uint16_t *            | unsigned short   |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/usb/hcd-ohci.c:405:13:405:27     |
| hw/usb/hcd-uhci.c    | uhci_process_frame                   | call to pci_dma_read       | & ...          | &link                                      | uint32_t *            | unsigned int     |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/usb/hcd-uhci.c:963:5:963:16      |
| hw/usb/hcd-uhci.c    | uhci_process_frame                   | call to pci_dma_read       | & ...          | &qh                                        | UHCI_QH *             | UHCI_QH          |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/usb/hcd-uhci.c:1001:13:1001:24   |
| hw/usb/hcd-uhci.c    | uhci_read_td                         | call to pci_dma_read       | td             | td                                         | UHCI_TD *             | UHCI_TD          |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/usb/hcd-uhci.c:627:5:627:16      |
| hw/usb/hcd-uhci.c    | uhci_handle_td                       | call to pci_dma_read       | buf            | async->buf                                 | uint8_t *             | unsigned char    |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/usb/hcd-uhci.c:838:9:838:20      |
| hw/usb/hcd-xhci.c    | usb_xhci_post_load                   | call to ldq_le_dma         | & ...          | &addr                                      | uint64_t *            | unsigned long    |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/usb/hcd-xhci.c:3457:9:3457:18    |
| hw/usb/hcd-xhci.c    | usb_xhci_post_load                   | call to xhci_dma_read_u32s | slot_ctx       | slot_ctx                                   | uint32_t[4]           | unsigned int     |              16 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/usb/hcd-xhci.c:3460:9:3460:26    |
| hw/usb/hcd-xhci.c    | usb_xhci_post_load                   | call to xhci_dma_read_u32s | ep_ctx         | ep_ctx                                     | uint32_t[5]           | unsigned int     |              20 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/usb/hcd-xhci.c:3472:13:3472:30   |
| hw/usb/hcd-xhci.c    | xhci_er_reset                        | call to dma_memory_read    | & ...          | &seg                                       | XHCIEvRingSeg *       | XHCIEvRingSeg    |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/usb/hcd-xhci.c:801:5:801:19      |
| hw/usb/hcd-xhci.c    | xhci_ring_fetch                      | call to dma_memory_read    | trb            | trb                                        | XHCITRB *             | XHCITRB          |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/usb/hcd-xhci.c:683:9:683:23      |
| hw/usb/hcd-xhci.c    | xhci_address_slot                    | call to ldq_le_dma         | & ...          | &poctx                                     | uint64_t *            | unsigned long    |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/usb/hcd-xhci.c:2080:5:2080:14    |
| hw/usb/hcd-xhci.c    | xhci_address_slot                    | call to xhci_dma_read_u32s | ictl_ctx       | ictl_ctx                                   | uint32_t[2]           | unsigned int     |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/usb/hcd-xhci.c:2087:5:2087:22    |
| hw/usb/hcd-xhci.c    | xhci_address_slot                    | call to xhci_dma_read_u32s | slot_ctx       | slot_ctx                                   | uint32_t[4]           | unsigned int     |              16 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/usb/hcd-xhci.c:2095:5:2095:22    |
| hw/usb/hcd-xhci.c    | xhci_address_slot                    | call to xhci_dma_read_u32s | ep0_ctx        | ep0_ctx                                    | uint32_t[5]           | unsigned int     |              20 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/usb/hcd-xhci.c:2096:5:2096:22    |
| hw/usb/hcd-xhci.c    | xhci_configure_slot                  | call to xhci_dma_read_u32s | slot_ctx       | slot_ctx                                   | uint32_t[4]           | unsigned int     |              16 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/usb/hcd-xhci.c:2196:9:2196:26    |
| hw/usb/hcd-xhci.c    | xhci_configure_slot                  | call to xhci_dma_read_u32s | ictl_ctx       | ictl_ctx                                   | uint32_t[2]           | unsigned int     |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/usb/hcd-xhci.c:2206:5:2206:22    |
